City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
210,Port Lincoln,AU,2022-04-01 17:25:40,-34.7333,135.8667,61.45,77,0,18.92,clear sky,0.0,0.0
211,Thompson,CA,2022-04-01 17:25:41,55.7435,-97.8558,17.76,73,100,14.97,overcast clouds,0.0,0.0
212,Surt,LY,2022-04-01 17:25:41,31.2089,16.5887,72.16,33,4,4.23,clear sky,0.0,0.0
213,San Cristobal,VE,2022-04-01 17:25:42,7.7669,-72.225,82.58,39,91,8.48,overcast clouds,0.0,0.0
214,Longyearbyen,SJ,2022-04-01 17:23:25,78.2186,15.6401,3.04,55,20,8.05,few clouds,0.0,0.0
215,Hirado,JP,2022-04-01 17:25:42,33.3597,129.5531,50.4,62,92,19.24,overcast clouds,0.0,0.0
216,Pa Sang,TH,2022-04-01 17:25:43,18.5262,98.9394,84.4,60,28,2.55,scattered clouds,0.0,0.0
217,Pisco,PE,2022-04-01 17:25:00,-13.7,-76.2167,72.01,73,90,8.05,haze,0.0,0.0
218,Mumford,GH,2022-04-01 17:25:44,5.2618,-0.759,83.52,79,100,15.7,overcast clouds,0.0,0.0
219,Nuuk,GL,2022-04-01 17:25:44,64.1835,-51.7216,34.41,80,75,9.22,broken clouds,0.0,0.0
220,Esperance,AU,2022-04-01 17:25:44,-33.8667,121.9,62.44,72,4,15.9,clear sky,0.0,0.0
221,Ossora,RU,2022-04-01 17:25:45,59.2353,163.0719,15.58,95,100,4.68,light snow,0.0,0.0
222,Guipavas,FR,2022-04-01 17:25:46,48.4352,-4.3972,46.45,53,75,17.27,broken clouds,0.0,0.0
223,Alexandria,EG,2022-04-01 17:22:53,31.2156,29.9553,77.54,60,100,4.61,overcast clouds,0.0,0.0
224,Fort Nelson,CA,2022-04-01 17:25:46,58.8053,-122.7002,8.19,72,100,8.05,light snow,0.0,0.0
